f,year,month,day,utc_time,date
2022-06-29_strip_5747915_composite.tif,2022,6,29,08:57:41,2022-06-29
2022-07-02_strip_5755290_composite.tif,2022,7,2,09:29:27,2022-07-02
2022-08-14_strip_5857494_composite.tif,2022,8,14,09:47:00,2022-08-14
2023-03-02_strip_6324806_composite.tif,2023,3,2,09:11:51,2023-03-02
2023-03-05_strip_6332558_composite.tif,2023,3,5,09:33:09,2023-03-05
2023-03-08_strip_6342667_composite.tif,2023,3,8,09:37:41,2023-03-08
2023-03-10_strip_6345331_composite.tif,2023,3,10,09:38:15,2023-03-10
2023-03-13_strip_6353882_composite.tif,2023,3,13,09:41:08,2023-03-13
2023-03-16_strip_6360308_composite.tif,2023,3,16,09:08:52,2023-03-16
2023-03-24_strip_6381177_composite.tif,2023,3,24,08:59:16,2023-03-24
2023-03-28_strip_6389806_composite.tif,2023,3,28,09:35:46,2023-03-28
2023-04-10_strip_6423876_composite.tif,2023,4,10,09:01:33,2023-04-10
2023-04-13_strip_6431461_composite.tif,2023,4,13,08:54:19,2023-04-13
2023-04-16_strip_6439339_composite.tif,2023,4,16,09:33:35,2023-04-16
2023-04-25_strip_6459444_composite.tif,2023,4,25,08:59:41,2023-04-25
2023-04-27_strip_6464280_composite.tif,2023,4,27,09:04:50,2023-04-27
2023-04-28_strip_6466850_composite.tif,2023,4,28,09:08:22,2023-04-28
2023-05-06_strip_6488088_composite.tif,2023,5,6,09:02:46,2023-05-06
2023-05-15_strip_6509649_composite.tif,2023,5,15,09:01:28,2023-05-15
2023-05-22_strip_6525993_composite.tif,2023,5,22,09:40:35,2023-05-22
2023-06-11_strip_6571112_composite.tif,2023,6,11,09:38:57,2023-06-11
2023-06-11_strip_6571805_composite.tif,2023,6,11,08:55:45,2023-06-11
2023-06-14_strip_6578197_composite.tif,2023,6,14,09:07:39,2023-06-14
2023-06-19_strip_6589561_composite.tif,2023,6,19,09:11:50,2023-06-19
2023-06-22_strip_6595827_composite.tif,2023,6,22,08:59:22,2023-06-22
2023-06-25_strip_6602800_composite.tif,2023,6,25,09:40:28,2023-06-25
2023-07-12_strip_6643745_composite.tif,2023,7,12,09:37:15,2023-07-12
2023-09-08_strip_6759777_composite.tif,2023,9,8,09:47:34,2023-09-08
